id,scrimId,event_type,match_time,round_number,capturing_team,objective_index,point_capture_progress,MapDataId
1005,29,point_progress,512.36,2,T_a02bf5e9,0,33.59,65
1006,29,point_progress,514.15,2,T_a02bf5e9,0,66.79,65
1007,29,point_progress,516.04,2,T_a02bf5e9,0,99.99,65
1008,29,point_progress,549.19,2,T_5568bd9d,0,33.85,65
1009,29,point_progress,550.5,2,T_5568bd9d,0,66.65,65
1010,29,point_progress,610.56,3,T_f27c3e61,1,33.69,65
1011,29,point_progress,612.83,3,T_f27c3e61,1,66.79,65
1012,29,point_progress,625.05,3,T_a02bf5e9,1,33.58,65
1013,29,point_progress,627.11,3,T_a02bf5e9,1,66.88,65
1014,29,point_progress,638.83,3,T_5568bd9d,1,33.97,65
1015,29,point_progress,640.16,3,T_5568bd9d,1,67.18,65
1016,29,point_progress,641.49,3,T_a02bf5e9,1,0,65
1017,29,point_progress,683.99,3,T_a02bf5e9,1,33.57,65
1018,29,point_progress,749.16,3,T_a02bf5e9,1,33.44,65
1019,29,point_progress,750.48,3,T_a02bf5e9,1,66.64,65
1020,29,point_progress,789.09,3,T_5568bd9d,1,33.38,65
1021,29,point_progress,791.45,3,T_5568bd9d,1,66.77,65
1022,29,point_progress,794.11,3,T_5568bd9d,1,99.97,65
1023,38,point_progress,31.89,1,T_f27c3e61,2,33.38,66
1024,38,point_progress,36.45,1,T_f27c3e61,2,66.74,66
1025,38,point_progress,133.16,1,T_a02bf5e9,2,33.46,66
1026,38,point_progress,134.49,1,T_a02bf5e9,2,66.66,66
1027,38,point_progress,166.87,1,T_5568bd9d,2,33.49,66
1028,38,point_progress,170.92,1,T_5568bd9d,2,66.77,66
1029,38,point_progress,247.03,2,T_f27c3e61,0,33.48,66
1030,38,point_progress,248.46,2,T_f27c3e61,0,66.98,66
1031,38,point_progress,312.93,2,T_5568bd9d,0,33.38,66
1032,38,point_progress,362.02,2,T_5568bd9d,0,33.57,66
1033,38,point_progress,363.62,2,T_5568bd9d,0,66.68,66
1034,38,point_progress,398.41,2,T_a02bf5e9,0,33.49,66
1035,38,point_progress,403.26,2,T_a02bf5e9,0,66.77,66
1036,38,point_progress,404.59,2,T_a02bf5e9,0,99.97,66
1037,38,point_progress,418.35,2,T_5568bd9d,0,33.37,66
1038,38,point_progress,419.72,2,T_5568bd9d,0,66.88,66
1039,38,point_progress,500.79,2,T_a02bf5e9,0,33.37,66
1040,38,point_progress,502.13,2,T_a02bf5e9,0,66.87,66
1041,38,point_progress,540.63,3,T_f27c3e61,1,33.38,66
1042,38,point_progress,542.4,3,T_f27c3e61,1,66.68,66
1043,38,point_progress,558.73,3,T_5568bd9d,1,33.49,66
1044,38,point_progress,560.6,3,T_5568bd9d,1,66.98,66
1045,38,point_progress,625.3,3,T_a02bf5e9,1,33.46,66
1046,38,point_progress,627.13,3,T_a02bf5e9,1,66.66,66
1047,38,point_progress,643.45,3,T_5568bd9d,1,33.59,66
1048,38,point_progress,645.2,3,T_5568bd9d,1,66.99,66
1111,40,point_progress,41.66,1,T_f27c3e61,1,33.38,73
1112,40,point_progress,44.32,1,T_f27c3e61,1,66.65,73
1113,40,point_progress,114.17,1,T_5568bd9d,1,33.59,73
1114,40,point_progress,117.75,1,T_5568bd9d,1,66.77,73
1115,40,point_progress,201.7,2,T_f27c3e61,2,33.47,73
1116,40,point_progress,206.09,2,T_f27c3e61,2,66.65,73
1117,40,point_progress,209.37,2,T_f27c3e61,2,99.91,73
1118,40,point_progress,306.02,2,T_a02bf5e9,2,33.56,73
1119,40,point_progress,307.34,2,T_a02bf5e9,2,66.76,73
1120,40,point_progress,308.67,2,T_a02bf5e9,2,99.96,73
1121,40,point_progress,334.63,2,T_5568bd9d,2,33.89,73
1122,40,point_progress,336.36,2,T_5568bd9d,2,66.79,73
1123,40,point_progress,372.94,2,T_a02bf5e9,2,33.38,73
1124,40,point_progress,428.53,3,T_f27c3e61,0,33.57,73
1125,40,point_progress,430.24,3,T_f27c3e61,0,67.05,73
1126,40,point_progress,511.56,3,T_a02bf5e9,0,33.59,73
1139,43,point_progress,31.98,1,T_f27c3e61,2,33.49,83
1140,43,point_progress,34.19,1,T_f27c3e61,2,66.79,83
1141,43,point_progress,82.2,1,T_5568bd9d,2,33.38,83
1142,43,point_progress,84.01,1,T_5568bd9d,2,66.88,83
1143,43,point_progress,130.36,1,T_a02bf5e9,2,33.35,83
1144,43,point_progress,131.71,1,T_a02bf5e9,2,66.95,83
1145,43,point_progress,200.79,1,T_5568bd9d,2,33.37,83
1146,43,point_progress,202.49,1,T_5568bd9d,2,67.38,83
1147,43,point_progress,252.44,1,T_a02bf5e9,2,33.58,83
1148,43,point_progress,254.22,1,T_a02bf5e9,2,66.88,83
1149,43,point_progress,292.98,2,T_f27c3e61,1,33.39,83
1150,43,point_progress,294.5,2,T_f27c3e61,1,66.89,83
1151,43,point_progress,306.21,2,T_5568bd9d,1,33.58,83
1152,43,point_progress,307.78,2,T_5568bd9d,1,66.78,83
1153,43,point_progress,310.43,2,T_5568bd9d,1,99.97,83
1154,43,point_progress,371.09,2,T_a02bf5e9,1,33.57,83
1155,43,point_progress,372.42,2,T_a02bf5e9,1,66.78,83
1156,43,point_progress,373.75,2,T_a02bf5e9,1,99.98,83
1157,43,point_progress,469.1,2,T_5568bd9d,1,33.34,83
1158,43,point_progress,470.44,2,T_5568bd9d,1,66.94,83
1159,43,point_progress,520.11,2,T_a02bf5e9,1,33.49,83
1160,43,point_progress,522.01,2,T_a02bf5e9,1,66.89,83
1161,43,point_progress,532.96,2,T_5568bd9d,1,33.97,83
1162,43,point_progress,535.27,2,T_5568bd9d,1,66.95,83
1163,43,point_progress,596.03,3,T_f27c3e61,0,33.38,83
1164,43,point_progress,599.02,3,T_f27c3e61,0,66.87,83
1165,43,point_progress,625.01,3,T_a02bf5e9,0,33.38,83
1166,43,point_progress,626.35,3,T_a02bf5e9,0,66.98,83
1167,43,point_progress,682.85,3,T_5568bd9d,0,33.36,83
