id,scrimId,event_type,match_time,round_number,previous_objective_index,current_objective_index,MapDataId
14641,1130,objective_updated,836.44,6,2,0,4461
14642,1131,objective_updated,164.5,2,0,1,4462
14643,1131,objective_updated,429.34,3,1,2,4462
14644,1131,objective_updated,385.53,2,0,1,4463
14645,1131,objective_updated,490.18,2,1,2,4463
14646,1131,objective_updated,623.86,2,2,3,4463
14647,1131,objective_updated,249.5,2,0,1,4465
14648,1131,objective_updated,515.84,3,1,2,4465
14649,1131,objective_updated,220.19,1,0,1,4466
14650,1131,objective_updated,397.45,1,1,2,4466
14651,1131,objective_updated,492.51,2,2,0,4466
14652,1131,objective_updated,741.57,2,0,1,4466
14653,1131,objective_updated,840.54,2,1,2,4466
14654,1131,objective_updated,945.7,2,2,3,4466
14655,1131,objective_updated,265.79,2,0,1,4468
14656,1131,objective_updated,423.88,3,1,2,4468
14657,1132,objective_updated,384.03,2,0,1,4469
14658,1132,objective_updated,644.38,2,1,2,4469
14659,1132,objective_updated,723.47,2,2,3,4469
14660,1132,objective_updated,0,1,0,1,4470
14661,1132,objective_updated,157.21,2,1,2,4470
14662,1132,objective_updated,470.78,3,2,0,4470
14663,1132,objective_updated,154.36,1,0,1,4471
14664,1132,objective_updated,395.17,2,1,0,4471
14665,1132,objective_updated,504.74,2,0,1,4471
14666,1132,objective_updated,648.2,2,1,2,4471
14667,1132,objective_updated,760.18,2,2,3,4471
14668,1132,objective_updated,107.47,2,0,3,4472
14669,1132,objective_updated,347.63,3,3,2,4472
14670,1132,objective_updated,596.04,4,2,4,4472
14671,1132,objective_updated,823.48,5,4,1,4472
14672,1132,objective_updated,959.5,6,1,3,4472
14673,1132,objective_updated,165.43,1,0,1,4473
14674,1132,objective_updated,410.55,2,1,0,4473
14675,1132,objective_updated,552.33,2,0,1,4473
14676,1132,objective_updated,632.11,2,1,2,4473
14677,1132,objective_updated,748.29,2,2,3,4473
14678,1133,objective_updated,215.69,1,0,1,4474
14679,1133,objective_updated,308.36,1,1,2,4474
14680,1133,objective_updated,527.73,2,2,0,4474
14681,1133,objective_updated,618.18,2,0,1,4474
14682,1133,objective_updated,704.74,2,1,2,4474
14683,1133,objective_updated,803.77,2,2,3,4474
14684,1134,objective_updated,0,1,0,1,4476
14685,1134,objective_updated,195.19,2,1,0,4476
14686,1134,objective_updated,431.03,3,0,2,4476
14687,1135,objective_updated,0,1,0,1,4477
14688,1135,objective_updated,195.19,2,1,0,4477
14689,1135,objective_updated,431.03,3,0,2,4477
14690,1136,objective_updated,0,1,0,1,4478
14691,1136,objective_updated,195.19,2,1,0,4478
14692,1136,objective_updated,431.03,3,0,2,4478
14693,1137,objective_updated,0,1,0,1,4479
14694,1137,objective_updated,195.19,2,1,0,4479
14695,1137,objective_updated,431.03,3,0,2,4479
14696,1137,objective_updated,145.36,1,0,1,4480
14697,1137,objective_updated,371.93,1,1,2,4480
14698,1137,objective_updated,506.32,1,2,3,4480
14699,1137,objective_updated,506.34,2,3,0,4480
14700,1137,objective_updated,668.38,2,0,1,4480
14701,1137,objective_updated,813.69,2,1,2,4480
14702,1137,objective_updated,946.28,2,2,3,4480
14703,1137,objective_updated,946.29,3,3,0,4480
14704,1138,objective_updated,144.13,1,0,1,4482
14705,1138,objective_updated,414.22,2,1,0,4482
14706,1138,objective_updated,587.32,2,0,1,4482
14707,1138,objective_updated,656.83,2,1,2,4482
14708,1139,objective_updated,144.13,1,0,1,4483
14709,1139,objective_updated,414.22,2,1,0,4483
14710,1139,objective_updated,587.32,2,0,1,4483
14711,1139,objective_updated,656.83,2,1,2,4483
14712,1140,objective_updated,144.13,1,0,1,4484
14713,1140,objective_updated,414.22,2,1,0,4484
14714,1140,objective_updated,587.32,2,0,1,4484
14715,1140,objective_updated,656.83,2,1,2,4484
14722,1140,objective_updated,0,1,0,1,4486
14723,1140,objective_updated,173.61,2,1,0,4486
14724,1140,objective_updated,347.49,3,0,2,4486
14725,1140,objective_updated,117.43,2,0,2,4487
14726,1140,objective_updated,262.86,3,2,3,4487
14727,1140,objective_updated,393.53,4,3,1,4487
14728,1140,objective_updated,602.43,5,1,4,4487
14729,1140,objective_updated,787.24,6,4,3,4487
14730,1140,objective_updated,0,1,0,2,4489
14731,1140,objective_updated,42.86,1,2,1,4489
14732,1140,objective_updated,87.29,1,1,2,4489
14733,1140,objective_updated,134.46,1,2,3,4489
14734,1140,objective_updated,212.44,1,3,2,4489
14735,1140,objective_updated,264.46,1,2,1,4489
14736,1140,objective_updated,307.79,1,1,0,4489
14737,1140,objective_updated,357.6,1,0,1,4489
14738,1140,objective_updated,407.54,1,1,0,4489
14739,1148,objective_updated,139.39,2,0,2,4490
14740,1148,objective_updated,347.27,3,2,1,4490
14741,1148,objective_updated,570.36,4,1,3,4490
14742,1148,objective_updated,720.96,5,3,4,4490
14743,1148,objective_updated,948.44,6,4,1,4490
14744,1148,objective_updated,152.39,1,0,1,4491
14745,1148,objective_updated,338.69,1,1,2,4491
14746,1148,objective_updated,507.84,2,2,0,4491
14747,1148,objective_updated,582.14,2,0,1,4491
14748,1148,objective_updated,737.67,2,1,2,4491
14749,1148,objective_updated,856.08,2,2,3,4491
14750,1148,objective_updated,0,1,0,2,4493
14751,1148,objective_updated,89.23,1,2,3,4493
14752,1148,objective_updated,130.07,1,3,4,4493
14753,1148,objective_updated,222.69,1,4,3,4493
14754,1148,objective_updated,314.96,1,3,4,4493
14755,1148,objective_updated,0,1,0,2,4494
14756,1148,objective_updated,267.27,2,2,0,4494
14757,1148,objective_updated,487.02,3,0,1,4494
14760,1174,objective_updated,0,1,0,2,4496
14761,1174,objective_updated,211.72,2,2,0,4496
14762,1174,objective_updated,481.95,3,0,1,4496
14763,533,objective_updated,176.27,2,0,2,4497
14764,533,objective_updated,491.86,3,2,1,4497
14765,1186,objective_updated,217.02,2,0,2,4498
14766,1186,objective_updated,393.45,3,2,1,4498
14767,1186,objective_updated,0,1,0,2,4500
14768,1186,objective_updated,61.21,1,2,3,4500
14769,1186,objective_updated,141.33,1,3,4,4500
14770,1186,objective_updated,205.66,1,4,3,4500
14771,1186,objective_updated,258.76,1,3,2,4500
14772,1186,objective_updated,333.35,1,2,3,4500
14773,1186,objective_updated,380.24,1,3,4,4500
14774,1186,objective_updated,526.7,1,4,3,4500
14775,1186,objective_updated,572.21,1,3,4,4500
14776,1186,objective_updated,186.32,2,0,1,4501
14777,1186,objective_updated,346.13,3,1,3,4501
14778,1186,objective_updated,544.92,4,3,4,4501
14779,1186,objective_updated,712.43,5,4,2,4501
14780,1186,objective_updated,904.16,6,2,1,4501
14781,1186,objective_updated,217.02,2,0,2,4502
14782,1186,objective_updated,393.45,3,2,1,4502
14783,1186,objective_updated,186.32,2,0,1,4503
14784,1186,objective_updated,346.13,3,1,3,4503
14785,1186,objective_updated,544.92,4,3,4,4503
14786,1186,objective_updated,712.43,5,4,2,4503
14787,1186,objective_updated,904.16,6,2,1,4503
14788,1186,objective_updated,0,1,0,2,4504
14789,1186,objective_updated,61.21,1,2,3,4504
14790,1186,objective_updated,141.33,1,3,4,4504
14791,1186,objective_updated,205.66,1,4,3,4504
14792,1186,objective_updated,258.76,1,3,2,4504
14793,1186,objective_updated,333.35,1,2,3,4504
14794,1186,objective_updated,380.24,1,3,4,4504
14795,1186,objective_updated,526.7,1,4,3,4504
14796,1186,objective_updated,572.21,1,3,4,4504
14797,1187,objective_updated,0,1,0,2,4506
14798,1187,objective_updated,254.32,2,2,1,4506
14799,1187,objective_updated,535.65,3,1,0,4506
14800,1187,objective_updated,223.63,1,0,1,4507
14801,1187,objective_updated,429.78,2,1,0,4507
14802,1187,objective_updated,523.59,2,0,1,4507
14803,1187,objective_updated,682.74,2,1,2,4507
14804,1187,objective_updated,787.15,2,2,3,4507
