[00:02:32] ;did_healing;Yomi;3.33;seniorcheese
[00:02:32] ;used_ability_2;Catalyst;Brigitte;<Icon>
[00:02:33] ;did_healing;Yomi;2.36;Yomi
[00:02:33] ;did_healing;Yomi;2.82;Catalyst
[00:02:33] ;did_healing;Yomi;2.82;seniorcheese
[00:02:33] ;damage_dealt;teejusb;37.52;seniorcheese
[00:02:33] ;did_healing;Yomi;2.36;Yomi
[00:02:33] ;did_healing;Yomi;3.07;Catalyst
[00:02:33] ;did_healing;Yomi;3.07;seniorcheese
[00:02:33] ;player_status;teejusb;Pharah;(6.31, 17.65, -38.94)
[00:02:33] ;player_health;teejusb;200;200
[00:02:33] ;player_ult;teejusb;18;0
[00:02:33] ;player_status;ModWilliam;Echo;(9.11, -0.35, -36.05)
[00:02:33] ;player_health;ModWilliam;200;200
[00:02:33] ;player_ult;ModWilliam;5;0
[00:02:33] ;player_status;Midreadias;Sigma;(15.99, 0.20, -37.21)
[00:02:33] ;player_health;Midreadias;400;400
[00:02:33] ;player_ult;Midreadias;2;0
[00:02:33] ;player_status;BiggieZ;Symmetra;(-23.38, 0.00, -37.13)
[00:02:33] ;player_health;BiggieZ;225;225
[00:02:33] ;player_ult;BiggieZ;3;0
[00:02:33] ;player_status;jhan;Tracer;(-3.31, 8.01, -52.09)
[00:02:33] ;player_health;jhan;0;150
[00:02:33] ;player_ult;jhan;4;0
[00:02:33] ;player_status;Yomi;Lúcio;(-5.13, -1.00, -63.10)
