[00:03:22] ;player_status;Yomi;Lúcio;(-21.26, -4.64, 30.37)
[00:03:22] ;player_health;Yomi;200;200
[00:03:22] ;player_ult;Yomi;1;0
[00:03:22] ;player_status;jhan;Tracer;(-26.57, -3.65, 41.92)
[00:03:22] ;player_health;jhan;150;150
[00:03:22] ;player_ult;jhan;3;0
[00:03:22] ;player_status;burninate;Tracer;(-28.63, -1.98, 54.07)
[00:03:22] ;player_health;burninate;150;150
[00:03:22] ;player_ult;burninate;3;0
[00:03:22] ;player_status;Electric;Zenyatta;(4.11, 1.92, 86.88)
[00:03:22] ;player_health;Electric;200;200
[00:03:22] ;player_ult;Electric;2;0
[00:03:22] ;player_status;seniorcheese;D.Va;(-14.43, -3.14, 55.75)
[00:03:22] ;player_health;seniorcheese;600;600
[00:03:22] ;player_ult;seniorcheese;3;0
[00:03:22] ;player_status;Midreadias;Zarya;(-9.96, 1.27, 77.32)
[00:03:22] ;player_health;Midreadias;400;400
[00:03:22] ;player_ult;Midreadias;2;0
[00:03:22] ;player_status;Catalyst;Ana;(0.85, -4.23, 39.50)
[00:03:22] ;player_health;Catalyst;200;200
[00:03:22] ;player_ult;Catalyst;2;0
[00:03:22] ;player_status;teejusb;Ashe;(0.70, 1.92, 91.50)
[00:03:22] ;player_health;teejusb;200;200
[00:03:22] ;player_ult;teejusb;2;0
[00:03:22] ;player_status;JohnnyB;Ana;(-26.26, 2.02, 101.01)
[00:03:22] ;player_health;JohnnyB;200;200
[00:03:22] ;player_ult;JohnnyB;2;0
[00:03:22] ;player_status;MortalWombat;Winston;(7.54, -2.95, 66.01)
[00:03:22] ;player_health;MortalWombat;500;500
[00:03:22] ;player_ult;MortalWombat;2;0
[00:03:22] ;player_status;hypnobeam;Winston;(-24.92, -3.67, 43.51)
[00:03:22] ;player_health;hypnobeam;500;500
[00:03:22] ;player_ult;hypnobeam;2;0
[00:03:23] ;player_status;BiggieZ;Sombra;(5.79, -2.27, 59.45)
[00:03:23] ;player_health;BiggieZ;200;200
[00:03:23] ;player_ult;BiggieZ;3;0
[00:03:23] ;player_status;Yomi;Lúcio;(-21.77, -5.27, 32.52)
[00:03:23] ;player_health;Yomi;200;200
